Combined:Interactions,count
TP53->INDUCES,3250
GRB2->INDUCES,3123
SRC->INDUCES,2872
YWHAB->INDUCES,2510
EGFR->INDUCES,2206
CTNNB1->INDUCES,2057
AKT1->INDUCES,1839
PIK3R1->INDUCES,1826
FHL5->INDUCES,1703
FYN->INDUCES,1689
SHC1->INDUCES,1624
CRK->INDUCES,1492
MAPK1->INDUCES,1433
CBL->INDUCES,1421
PCNA->INDUCES,1385
PRKCA->INDUCES,1364
CSNK2A1->INDUCES,1302
POLR2A->INDUCES,1295
SF3A2->INDUCES,1215
RAC1->INDUCES,1210
ABL1->INDUCES,1186
CASP3->INDUCES,1115
HSP90AA1->INDUCES,1108
STAT3->INDUCES,1073
IRS1->INDUCES,1069
PTPN6->INDUCES,1058
BRCA1->INDUCES,1018
SUMO1->INDUCES,999
PLK1->INDUCES,976
RHOA->INDUCES,959
NCK1->INDUCES,954
RAF1->INDUCES,922
JAK2->INDUCES,917
PIK3R2->INDUCES,914
HDAC3->INDUCES,899
JUP->INDUCES,888
PPP2CA->INDUCES,878
YWHAE->INDUCES,865
INSR->INDUCES,864
RELA->INDUCES,862
CDC42->INDUCES,848
XPO1->INDUCES,847
GSK3B->INDUCES,841
PRKCZ->INDUCES,840
MYC->INDUCES,838
YWHAG->INDUCES,838
SYK->INDUCES,819
CRKL->INDUCES,818
BTRC->INDUCES,812
YWHAH->INDUCES,801
JUN->INDUCES,795
JAK1->INDUCES,790
SMARCA4->INDUCES,789
MTOR->INDUCES,784
MAPK10->INDUCES,781
ERBB2->INDUCES,757
IGF1R->INDUCES,752
YWHAQ->INDUCES,741
RPS5->INDUCES,733
ATM->INDUCES,731
SOS1->INDUCES,728
CSF1R->INDUCES,728
HSPA8->INDUCES,709
CDK1->INDUCES,707
RPS27A->INDUCES,706
PTPN1->INDUCES,695
PTK2B->INDUCES,691
PRKCD->INDUCES,680
H2AX->INDUCES,676
PRKACA->REGULATES,672
NCL->INDUCES,671
CDK1->REGULATES,667
SUMO2->INDUCES,663
CDK2->INDUCES,663
RPL11->INDUCES,663
CAV1->INDUCES,653
RPL30->INDUCES,650
CSNK2A1->REGULATES,649
MAPK14->INDUCES,647
RPL8->INDUCES,646
NFKB1->INDUCES,644
EZR->INDUCES,636
HRAS->INDUCES,635
RPL5->INDUCES,634
KHDRBS1->INDUCES,627
RPL12->INDUCES,625
RPA1->INDUCES,624
RPL4->INDUCES,615
SRC->REGULATES,611
RPS16->INDUCES,609
JAK3->INDUCES,605
RXRA->INDUCES,601
PRKCA->REGULATES,601
PPP2R1A->INDUCES,593
RPS6->INDUCES,590
GRB10->INDUCES,588
RBBP4->INDUCES,586
STAT5A->INDUCES,585
CTNNA1->INDUCES,579
CBLB->INDUCES,578
CDK5->INDUCES,577
NPM1->INDUCES,575
CLTC->INDUCES,573
KAT2B->INDUCES,569
NR3C1->INDUCES,568
RPL9->INDUCES,565
EPS15->INDUCES,557
RAN->INDUCES,555
TOP1->INDUCES,547
KPNB1->INDUCES,543
RPL3->INDUCES,543
APP->INDUCES,543
IRS2->INDUCES,542
RPL6->INDUCES,537
RPL27->INDUCES,536
TRAF6->INDUCES,529
RPS7->INDUCES,524
NOP56->INDUCES,524
BCL2->INDUCES,523
MAP2K1->INDUCES,523
USP7->INDUCES,521
PIN1->INDUCES,520
PIK3CA->INDUCES,518
RPS9->INDUCES,516
AR->INDUCES,516
BCR->INDUCES,515
ZWINT->INDUCES,508
GAB2->INDUCES,508
RPS8->INDUCES,506
PPM1A->INDUCES,506
LCP2->INDUCES,502
GAB1->INDUCES,501
PPP1CA->INDUCES,500
AXIN1->INDUCES,499
HDAC4->INDUCES,498
