DEPOD:Phosphatase,count
PPP2CB,61
PPP2CA,61
PPP1CA,45
PPP1CC,40
PTPN1,36
PPP1CB,33
PTPN11,21
PPP3CB,19
PPP3CC,19
PPP3CA,19
PTPRJ,16
PTPN2,15
PPM1A,14
PPM1D,13
CTDSPL,13
CTDSP1,13
PTPN6,12
PTPRC,12
CTDSP2,11
PPM1B,9
CDC14A,8
PPP5C,7
PDP2,6
PHLPP2,6
PDP1,6
PHLPP1,6
PTPN12,6
DUSP3,5
PPP4C,5
PTEN,5
PTPN18,4
CDC14B,4
PTPRA,4
PTPN3,4
CDC25A,4
SSH1,4
PHPT1,3
PTPN22,3
PTPRB,3
PTP4A3,3
ACP1,2
PTPRK,2
PTPN5,2
DUSP1,2
PTPRE,2
PTPN7,2
DUSP26,2
UBASH3B,2
PPP6C,2
DUSP4,2
PTPN13,2
CDC25B,2
PTPRT,2
PPM1F,2
PTPRD,1
PTPRH,1
DUSP22,1
CDC25C,1
EYA1,1
EYA3,1
PPM1G,1
DUSP23,1
EPM2A,1
PDXP,1
PTPRO,1
CTDNEP1,1
PTPRR,1
SSH2,1
SSH3,1
PTPN21,1
PPM1H,1
CDKN3,1
PTPRZ1,1
PPM1K,1
CTDP1,1
