ELM:Interactions,count
MOD_CDK_SPK_2,135
MOD_CK1_1,128
MOD_CDK_SPxxK_3,127
MOD_CDK_SPxK_1,115
LIG_Integrin_isoDGR_2,95
DOC_MAPK_MEF2A_6,82
DOC_MAPK_JIP1_4,74
DOC_MAPK_RevD_3,72
DOC_MAPK_NFAT4_5,70
DOC_MAPK_HePTP_8,69
MOD_CK2_1,67
LIG_Actin_RPEL_3,65
DOC_MAPK_FxFP_2,64
LIG_LIR_Gen_1,63
DOC_PP2A_KARD_1,62
DOC_AGCK_PIF_1,55
MOD_PKB_1,54
MOD_GSK3_1,50
LIG_PTB_Phospho_1,44
LIG_PTB_Apo_2,43
LIG_Integrin_RGD_1,41
LIG_TYR_ITAM,40
LIG_LSD1_SNAG_1,37
DOC_MAPK_DCC_7,37
LIG_WRC_WIRS_1,37
CLV_C14_Caspase3-7,36
LIG_PCNA_PIPBox_1,36
LIG_SH2_CRK,34
MOD_SUMO_rev_2,32
LIG_ActinCP_CPI_1,32
LIG_Integrin_RGD_TGFB_3,31
LIG_LEDGF_IBM_1,30
LIG_GSK3_LRP6_1,29
DOC_AGCK_PIF_2,29
LIG_G3BP_FGDF_1,29
LIG_PDZ_Class_1,28
DOC_MAPK_gen_1,28
MOD_DYRK1A_RPxSP_1,28
LIG_RB_LxCxE_1,28
DOC_AGCK_PIF_3,27
LIG_FAT_LD_1,27
LIG_LYPXL_S_1,26
DEG_CRL4_CDT2_1,26
DOC_USP7_UBL2_3,25
DOC_GSK3_Axin_1,24
DEG_APCC_DBOX_1,23
TRG_ER_FFAT_1,23
MOD_LOK_YxT_1,22
LIG_PCNA_TLS_4,22
LIG_RB_pABgroove_1,22
LIG_SH3_PxxDY_5,22
LIG_ARS2_EDGEI_1,22
TRG_ER_FFAT_2,21
LIG_SH2_GRB2like,21
DOC_WW_Pin1_4,20
LIG_PAM2_1,20
LIG_PCNA_APIM_2,20
LIG_RBL1_LxSxE_2,19
DOC_MIT_MIM_1,19
LIG_MSH2_SHIPbox_1,19
LIG_BH_BH3_1,19
LIG_IRF7_LxLS_2,19
MOD_LATS_1,18
MOD_NEK2_1,18
LIG_SH2_NCK_1,18
LIG_MTR4_AIM_1,18
LIG_WD40_WDR5_WIN_1,17
LIG_PDZ_Wminus1_1,17
LIG_EVH1_1,16
CLV_Separin_Metazoa,16
LIG_VCP_SHPBox_1,16
DOC_ANK_TNKS_1,16
DOC_PP1_RVXF_1,16
LIG_SH2_STAP1,15
LIG_HCF-1_HBM_1,14
LIG_VCP_VIM_2,14
LIG_SUFU_1,14
LIG_EF_ALG2_ABM_1,14
LIG_Menin_MBM1_1,14
MOD_AAK1BIKe_LxxQxTG_1,14
LIG_DCNL_PONY_1,14
LIG_TRAF6_MATH_1,13
LIG_VCP_VBM_3,13
LIG_SH3_CIN85_PxpxPR_1,13
LIG_EF_ALG2_ABM_2,13
LIG_SH2_SRC,11
LIG_eIF4E_2,11
LIG_IRFs_LxIS_1,11
LIG_TRAF2like_MATH_loPxQ_2,11
LIG_NRP_CendR_1,11
LIG_CaMK_CASK_1,11
LIG_CSL_BTD_1,11
LIG_eIF4E_1,10
LIG_FZD_DVL_PDZ,10
LIG_PDZ_Class_2,10
LIG_CNOT1_NIM_1,10
LIG_NBox_RRM_1,10
LIG_Pex14_1,9
DOC_PP2B_PxIxIT_1,9
LIG_REV1ctd_RIR_1,8
DEG_Cend_KLHDC2_1,8
LIG_NRBOX,8
LIG_FXI_DFP_1,7
LIG_Mtr4_Trf4_2,7
LIG_EVH1_3,7
LIG_TRAF4_MATH_1,7
DOC_PP2B_LxvP_1,6
LIG_SH3_PxxxRxxKP_6,6
DOC_PP2A_B56_1,6
DEG_SPOP_SBC_1,6
DEG_SCF_FBXO31_1,6
LIG_MLH1_MIPbox_1,5
LIG_TRAF3_MATH_PxP_3,5
LIG_Integrin_KxxGD_FGGC_5,5
DOC_USP7_MATH_1,5
DOC_SPAK_OSR1_1,5
LIG_ANK_PxLPxL_1,4
LIG_PAM2_2,4
LIG_TRAF2like_MATH_shPxQ_1,4
LIG_GYF,4
DOC_PUB_PIM_1,4
LIG_EABR_CEP55_1,4
DOC_CYCLIN_RevRxL_6,4
LIG_CaM_IQ_9,3
TRG_NLS_MonoExtN_4,3
DEG_Kelch_KLHL12_1,3
DEG_SCF_TRCP1_1,3
LIG_Arc_Nlobe_1,3
LIG_CSK_EPIYA_1,3
LIG_KLC1_WD_1,2
LIG_LIR_LC3C_4,2
LIG_ARL_BART_1,2
MOD_CDC14_SPxK_1,2
LIG_SH3_2,1
LIG_SH3_PxxPPRxxK_8,1
LIG_SH3_PxRPPK_7,1
DOC_CYCLIN_RxL_1,1
LIG_MYND_3,1
DEG_APCC_KENBOX_2,1
DEG_Kelch_KLHL3_1,1
DEG_Kelch_Keap1_1,1
