PTMcode:Interprotein_Interactions,count
P04637,3222
P62993,3069
P12931,2822
P31946,2365
P00533,2190
P35222,2039
P31749,1827
P27986,1778
Q5TD97,1703
P06241,1668
P29353,1591
P46108,1477
P28482,1421
P22681,1413
P12004,1383
P17252,1361
P68400,1297
P24928,1288
Q15428,1215
P63000,1204
P00519,1183
P42574,1114
P07900,1096
P35568,1065
P40763,1051
P29350,1037
P38398,1009
P63165,990
P61586,953
P16333,936
P53350,925
O60674,913
P04049,912
O00459,906
O15379,891
P14923,888
P67775,869
P06213,864
Q04206,845
P60953,843
Q05513,839
O14980,837
P01106,834
P49841,834
P46109,810
P43405,809
P05412,794
P23458,790
P62258,789
P51532,788
P53779,781
P61981,779
P42345,779
Q04917,765
P04626,753
P08069,748
Q9Y297,748
P46782,733
P07333,728
Q07889,725
Q13315,719
P62979,706
P11142,700
P27348,698
P06493,696
P18031,688
Q14289,688
Q05655,675
P19338,669
P16104,666
P62913,663
P24941,662
P61956,656
Q03135,652
P62888,650
P62917,646
P19838,638
Q16539,636
P15311,636
P46777,634
P01112,632
P30050,625
Q07666,623
P27694,621
P36578,615
P62249,609
P52333,604
P19793,598
P30153,593
P62753,590
Q13322,586
Q09028,585
P42229,581
P35221,578
Q00535,576
Q13191,576
Q00610,570
P04150,567
P32969,565
P06748,564
Q92831,558
P42566,555
P62826,553
P11387,547
P39023,543
P05067,541
Q9Y4H2,539
Q02878,537
Q14974,536
P61353,536
O00567,524
P62081,524
Q02750,522
Q9Y4K3,521
Q93009,519
P10415,517
P46781,516
P11274,514
P42336,511
Q9UQC2,508
O95229,508
P62241,506
P35813,505
P10275,503
Q13480,497
P05388,495
P62136,495
P56524,493
Q13094,491
O15169,491
P61313,490
P83731,490
Q99873,488
P62263,487
P38936,484
P33151,482
P08631,479
Q16665,479
P11831,479
P19235,478
Q13464,477
P16885,477
P29597,477
P35968,476
P15056,469
P42768,467
P42766,467
Q9Y3U8,466
P15924,465
P20248,464
Q02543,463
P62244,463
Q92901,459
P11388,459
P29590,457
Q13485,454
P63208,452
Q07955,449
P41240,447
Q15648,445
P19438,442
O60716,441
P10721,440
P62829,440
O96017,439
P51531,436
P25054,436
P17676,435
P05387,434
P05106,433
Q13526,431
P54132,429
Q96RT1,427
P62910,427
P50750,426
Q00403,425
A2A3N6,424
P19387,424
Q9Y5B9,422
Q06187,422
P26373,421
O43683,421
Q92878,421
P19784,419
P18077,417
Q96B97,416
O43684,415
O95793,412
Q99741,410
P61978,409
P46934,408
O00231,408
P43403,407
Q99459,406
O00303,406
O43639,405
P84098,402
P16070,402
P43034,399
Q05193,397
O14939,395
P60900,394
O15530,394
Q14247,393
Q02156,392
O15111,390
Q13363,389
P19022,385
Q9P289,383
Q15139,382
Q96EB6,382
P62701,381
Q16623,381
P37840,380
P25789,380
P51587,379
P61247,379
Q92922,379
P40818,378
P05771,377
O60934,377
O14746,375
P55884,375
P08575,374
Q16531,373
Q16543,372
Q07817,372
P15976,367
Q9BWU1,367
P08670,367
P28066,365
P33993,364
P33991,364
Q08945,362
P07947,362
P51665,360
O60260,355
P05386,355
Q8N122,355
O75531,354
P08708,354
