PSP:Disease_Association,count
breast cancer->increased,157
Alzheimer's disease->increased,82
prostate cancer->increased,64
ovarian cancer->increased,64
neuroblastoma->increased,52
colorectal cancer->increased,47
Parkinson's disease->increased,44
hepatocellular carcinoma->increased,38
ALS->increased,38
glioblastoma multiforme->increased,32
breast cancer,30
HNSCC->increased,29
lung cancer->increased,28
colorectal carcinoma->increased,27
non-small cell lung cancer->increased,26
pancreatic ductal adenocarcinoma->increased,23
lung cancer,22
colorectal cancer,22
type 2 diabetes->increased,21
FTLD,21
breast cancer->decreased,21
melanoma skin cancer->increased,19
endometrial cancer->increased,18
HNSCC->decreased,18
clear cell kidney cancer->increased,17
cardiomyopathy->decreased,15
non-small cell lung adenocarcinoma->increased,15
pancreatic ductal adenocarcinoma->decreased,15
colorectal cancer->decreased,14
acute myelogenous leukemia->increased,14
gastric cancer->increased,14
hepatocellular carcinoma,13
Huntington's disease->increased,13
cardiomyopathy->increased,12
"cancer, squamous cell carcinoma->increased",12
Parkinson's disease->decreased,11
tuberous sclerosis->increased,10
chronic lymphocytic leukemia->increased,10
diabetes mellitus->decreased,9
breast ductal carcinoma->increased,9
non-small cell lung adenocarcinoma,9
endometrial cancer,9
acute myelogenous leukemia->mutation of site,9
glioblastoma->increased,9
glioma->increased,9
prostate cancer->decreased,9
non-small cell lung adenocarcinoma->decreased,9
CRPC->increased,9
non-small cell lung cancer,8
bladder cancer->increased,8
DCM->increased,8
Alzheimer's disease->decreased,8
CCA->increased,7
Parkinson's disease,7
liver cancer->increased,7
non-small cell squamous cell lung carcinoma->increased,7
X-linked agammaglobulinaemia->increased,7
hypertrophic cardiomyopathy->increased,7
Alzheimer's disease,7
kidney cancer->increased,7
multiple sclerosis->increased,7
pancreatic carcinoma->increased,7
breast adenocarcinoma->increased,7
Fetal growth restriction->increased,7
ovarian epithelial carcinoma->increased,7
Huntington's disease->decreased,7
chronic myelogenous leukemia->increased,7
psoriasis->increased,7
"breast cancer, triple negative->increased",7
DCM,7
colonic inflamation->increased,6
DCM->decreased,6
ataxia-telangiectasia->decreased,6
nasopharyngeal carcinoma->increased,6
pituitary cancer->increased,6
PAH->increased,6
pancreatic cancer->increased,6
SLE->increased,6
Kaposi's sarcoma->increased,6
cervical cancer->increased,5
lymphoma->increased,5
medullary thyroid carcinoma->increased,5
hypertrophic cardiomyopathy->decreased,5
X-linked hypophosphatemia->increased,5
ovarian cancer,5
multiple myeloma->increased,5
breast cancer->molecular association,5
breast ductal carcinoma->decreased,4
HAM/TSP->increased,4
liver disease,4
bipolar disprder->increased,4
SLE->decreased,4
lung cancer->decreased,4
colorectal cancer->mutation of site,4
pancreatic cancer,4
hepatocellular carcinoma->decreased,4
type 2 diabetes->decreased,4
spinocerebellar ataxia type 1->increased,4
B-Cell ALL->increased,4
diabetes mellitus->increased,4
Ewing's sarcoma->increased,4
RIDDLE syndrome->increased,4
pulmonary emphysema->increased,4
psoriasis->decreased,4
type 2 diabetes,4
sickle-cell anaemia->increased,4
"non-small cell lung adenocarcinoma, surrounding tissue->increased",4
acute lymphocytic leukemia->deletion of site,4
mantle cell lymphoma->increased,3
acute lymphocytic leukemia->increased,3
"obesity, hyperphagic->decreased",3
T cell lymphoma->increased,3
pre-ecalampsia->decreased,3
endometrial cancer->decreased,3
Schwannoma->increased,3
breast cancer->mutation of site,3
acute lymphocytic leukemia,3
FTLD->increased,3
DLB->decreased,3
hypertension->increased,3
schizophrenia->increased,3
colorectal carcinoma,3
esophageal carcinoma->increased,3
Down syndrome->increased,3
vulvar cancer->increased,3
acute myelogenous leukemia,3
adrenocortical carcinoma->increased,3
spinocerebellar ataxia type 14->decreased,3
acute lymphocytic leukemia->decreased,3
GvHD->mutation of site,3
EAE,3
leukemia->increased,3
hepatocellular carcinoma->molecular association,3
LBD,3
DCM->mutation of site,3
asthma->increased,3
non-small cell lung cancer->mutation of site,3
glioblastoma multiforme->decreased,3
esophageal carcinoma,2
gastric carcinoma->molecular association,2
FXS->decreased,2
GIST->increased,2
anal carcinoma->increased,2
papillary thyroid carcinoma->increased,2
Status epilepticus->mutation of site,2
HBL->decreased,2
molecular association,2
IPF->increased,2
synucleinopathy,2
MSA->increased,2
DLB->increased,2
"breast cancer, triple negative->decreased",2
squamous cell carcinoma of the oropharynx->increased,2
Fanconi's anaemia->decreased,2
B cell lymphoma,2
Marfan syndrome->increased,2
AGD->increased,2
mutation of site,2
AD->increased,2
neuroendocrine cancer->increased,2
lymphoplasmacytic lymphoma,2
rheumatoid arthritis->increased,2
increased,2
follicular lymphoma->increased,2
schizophrenia->decreased,2
Ewing's sarcoma->decreased,2
cervical squamous cell carcinoma->increased,2
ataxia-telangiectasic cancer->decreased,2
GCT->increased,2
CCA->decreased,2
PAH->decreased,2
non-Hodgkin's lymphoma,2
osteosarcoma->increased,2
atrial fibrillation->increased,2
HIV/AIDS->increased,2
B cell lymphoma->increased,2
SBMA->decreased,2
"liver steatosis, fatty liver->decreased",2
depression->increased,2
Sjogren syndrome->increased,2
atherosclerosis->deletion of site,2
hepatitis,2
hepatitis->decreased,2
ALD->increased,2
acute myelogenous leukemia->duplication,2
"obesity, hyperphagic",2
SLE,2
mesothelioma->increased,2
hepatitis B->increased,2
OSCC->decreased,2
gastric cancer,2
esophageal cancer,2
gastric cancer->decreased,2
ASD autism spectrum->decreased,2
Bloom's syndrome->increased,2
anaplastic thyroid carcinoma->increased,2
follicular thyroid carcinoma,2
papillary thyroid carcinoma,2
esophageal cancer->increased,2
Hodgkin's lymphoma->increased,2
kidney cancer,2
non-small cell squamous cell lung carcinoma,2
scleroderma->increased,2
Status epilepticus->decreased,2
NAFLD->increased,2
myotonic dystrophy type1->increased,2
clear cell kidney cancer->decreased,2
intraocular melanoma->increased,2
prostate cancer,2
chronic myelogenous leukemia->decreased,2
medullary thyroid carcinoma->mutation of site,2
retinitis pigmentosa->mutation of site,2
HER2 positive breast cancer->increased,2
rheumatoid arthritis->decreased,1
"obesity, hyperphagic->mutation of site",1
myeloproliferative disorder->increased,1
MGUS->increased,1
Wilm's tumor->increased,1
multiple myeloma,1
FMD->increased,1
infertility->mutation of site,1
KC->decreased,1
celiac->decreased,1
Fanconi's anaemia,1
SBMA->increased,1
Parkinson's disease->mutation of site,1
"liver steatosis, fatty liver->increased",1
chronic lymphocytic leukemia->mutation of site,1
melanoma skin cancer->decreased,1
FXS->mutation of site,1
PFCP->decreased,1
sHLH/MAS syndrome->increased,1
paraplegia->mutation of site,1
myopathy->mutation of site,1
ADLB->decreased,1
macrothrombocytopenia->decreased,1
Huntington's disease,1
RTT->mutation of site,1
cervical squamous cell carcinoma->decreased,1
leukemia->mutation of site,1
T-ALL->increased,1
ADLB->increased,1
atrial fibrillation,1
Merkel cell carcinoma->decreased,1
Crohn disease->increased,1
CMC->mutation of site,1
multiple myeloma->mutation of site,1
non-small cell squamous cell lung carcinoma->decreased,1
Burkitt's lymphoma->increased,1
leukemia->translocation,1
DLB->molecular association,1
papillary thyroid carcinoma->decreased,1
myelodysplastic syndrome->increased,1
hypertension->decreased,1
DKD->increased,1
"breast cancer, triple negative",1
SMA->decreased,1
HES->mutation of site,1
cystic fibrosis->mutation of site,1
NAFLD,1
AC->mutation of site,1
ARVC->mutation of site,1
spontaneous clinical pregnancy loss->deletion of site,1
DLB,1
GvHD->increased,1
CPA->increased,1
hepatitis->increased,1
AC->increased,1
mosaic variegated aneuploidy (MVA) syndrome->increased,1
esophageal carcinoma->mutation of site,1
breast ductal carcinoma->mutation of site,1
NAFLD->decreased,1
gastric carcinoma->mutation of site,1
endometrial adenocarcinoma,1
Crohn disease->decreased,1
OSCC->increased,1
LBD->increased,1
acute myelogenous leukemia->decreased,1
insulinomatosis->mutation of site,1
insulinomatosis->decreased,1
atherosclerosis->decreased,1
VHL->mutation of site,1
sporadic inclusion-body myositis->increased,1
LBD->decreased,1
non-small cell large cell lung carcinoma,1
esophageal cancer->mutation of site,1
CCM->mutation of site,1
T cell lymphoma->mutation of site,1
Turner-like syndrome->decreased,1
mutation causing Brugada Syndrom->mutation of site,1
Wilm's tumor->deletion of site,1
schizophrenia,1
esophageal carcinoma->decreased,1
ventricular tachycardia->decreased,1
pancreatic carcinoma->decreased,1
medulloblastoma->increased,1
nephrosis->increased,1
nasopharyngeal carcinoma->decreased,1
PDD->increased,1
MPPH1->mutation of site,1
breast adenocarcinoma->decreased,1
nephrogenic diabetes insipidus->decreased,1
rhabdomyosarcoma->mutation of site,1
cystic fibrosis->decreased,1
major depressive disorder->decreased,1
cervical cancer->decreased,1
Crohn disease,1
translocation,1
CS->increased,1
HNSCC,1
meningioma->decreased,1
chronic myelogenous leukemia,1
fibrosarcoma of soft tissue->mutation of site,1
melanoma skin cancer,1
"cancer, squamous cell carcinoma",1
BCC->increased,1
HSAN1->mutation of site,1
ASD autism spectrum->mutation of site,1
LGMD2A->decreased,1
FTLD->decreased,1
pre-ecalampsia->increased,1
hypertension->mutation of site,1
kidney cancer->decreased,1
hypertrophic cardiomyopathy,1
primary biliary cirrhosis ->decreased,1
bladder cancer->mutation of site,1
glioblastoma->mutation of site,1
B cell lymphoma->decreased,1
myelodysplastic syndrome->decreased,1
vesicoureteral reflux->mutation of site,1
pheochromocytoma->mutation of site,1
chronic lymphocytic leukemia,1
ESCC->increased,1
DN->increased,1
PEL->increased,1
Lafora disease,1
astrocytoma->increased,1
bladder cancer->decreased,1
liver cancer,1
coronary artery disease->decreased,1
OA->increased,1
testicular cancer->increased,1
RIDDLE syndrome->decreased,1
B cell lymphoma->mutation of site,1
atherosclerosis,1
myotonic dystrophy type1,1
DM2,1
SRCC->increased,1
glioblastoma multiforme,1
clear cell kidney cancer,1
schizophrenia->mutation of site,1
XLP->decreased,1
melanoma skin cancer->molecular association,1
hepatocellular carcinoma->mutation of site,1
T cell leukemia->mutation of site,1
astrocytoma->decreased,1
atrial fibrillation->mutation of site,1
Emery-Dreifuss muscular dystrophy->mutation of site,1
multiple myeloma->decreased,1
LVR,1
MI->decreased,1
MI,1
CCA,1
angiosarcoma->mutation of site,1
LAM->increased,1
gallbladder cancer->increased,1
colorectal carcinoma->decreased,1
hypertrophic cardiomyopathy->mutation of site,1
ovarian cancer->decreased,1
HER2 positive breast cancer->decreased,1
sCJD,1
fCJD->increased,1
Alzheimer's disease->mutation of site,1
ventricular tachycardia,1
small-cell lung cancer->increased,1
gastric carcinoma->increased,1
thyroid cancer->increased,1
MI->increased,1
cervical adenocarcinoma->increased,1
Alexander's disease->increased,1
SDS->increased,1
Fanconi's anaemia->deletion of site,1
PEO->increased,1
pancreatic cancer->deletion of site,1
ALS->mutation of site,1
myxoid liposarcoma->translocation,1
PAAND->mutation of site,1
"cancer, squamous cell carcinoma->decreased",1
occular surface disease->increased,1
Status epilepticus,1
CSWSS->mutation of site,1
HIV Encephalitis->increased,1
Xeroderma pigmentosum->mutation of site,1
Sjogren syndrome->decreased,1
fibrosarcoma of soft tissue->increased,1
neurofibromatosis type 1->increased,1
laryngeal cancer->increased,1
non-Hodgkin's lymphoma->increased,1
multiple sclerosis,1
EAE->increased,1
sporadic inclusion-body myositis->decreased,1
Southeast Asian Ovalocytosis->increased,1
rheumatoid arthritis,1
AIS->mutation of site,1
