PSP:ON_FUNCTION,count
molecular association,5150
intracellular localization,2788
enzymatic activity,1934
activity,1781
protein degradation,1485
phosphorylation,1263
protein stabilization,989
ubiquitination,928
protein conformation,761
receptor internalization,245
receptor desensitization,149
acetylation,120
sumoylation,87
protein processing,66
receptor recycling,53
methylation,46
palmitoylation,13
receptor inactivation,12
O-GlcNAc glycosylation,9
neddylation,8
O-GalNAc glycosylation,2
ADP-ribosylation,1
N-GlcNAc glycosylation,1
