PSP:ON_PROT_INTERACT,count
14-3-3 beta(INDUCES),183
GRB2(INDUCES),110
14-3-3 zeta(INDUCES),109
PIN1(INDUCES),101
SHP-2(INDUCES),83
14-3-3 epsilon(INDUCES),83
PIK3R1(INDUCES),70
BTRC(INDUCES),70
14-3-3 gamma(INDUCES),68
Src(INDUCES),62
PLK1(INDUCES),62
ARRB1(INDUCES),58
FBXW7(INDUCES),57
SHC1(INDUCES),55
PLCG1(INDUCES),52
14-3-3 sigma(INDUCES),46
14-3-3 theta(INDUCES),45
ARRB2(INDUCES),44
14-3-3 eta(INDUCES),38
CBP(INDUCES),37
SHP-1(INDUCES),36
p53(INDUCES),35
NBS1(INDUCES),32
p300(INDUCES),30
RASA1(INDUCES),28
p53(DISRUPTS),26
CRK(INDUCES),25
Fyn(INDUCES),24
CTNNB1(INDUCES),24
STAT3(INDUCES),24
EGFR(INDUCES),23
NCK1(INDUCES),23
CSK(INDUCES),23
CBL(INDUCES),23
VAV1(INDUCES),22
SKP2(INDUCES),22
E2F4(DISRUPTS),22
ARR3(INDUCES),22
MDM2(INDUCES),21
Calmodulin(DISRUPTS),21
14-3-3 beta(DISRUPTS),21
HDAC1(INDUCES),20
LYN(INDUCES),20
FBW1B(INDUCES),19
mTOR(DISRUPTS),19
CTNNB1(DISRUPTS),19
E2F1(DISRUPTS),18
MDM2(DISRUPTS),18
IKKG(INDUCES),18
Lck(INDUCES),18
ACTB(INDUCES),17
ER-alpha(INDUCES),17
NFkB-p65(INDUCES),17
IKKA(INDUCES),16
HSP90A(INDUCES),16
PARP1(DISRUPTS),16
SUMO1(INDUCES),16
FAK(INDUCES),15
ACTB(DISRUPTS),15
CRKL(INDUCES),15
MDC1(INDUCES),15
PLCG2(INDUCES),15
SMAD4(INDUCES),14
AR(INDUCES),14
IRF3(INDUCES),13
RAC1(INDUCES),13
Exportin-1(DISRUPTS),13
RAF1(DISRUPTS),13
ATM(INDUCES),13
RAF1(INDUCES),13
Exportin-1(INDUCES),12
EB1(DISRUPTS),12
ERK2(INDUCES),12
RHOA(DISRUPTS),12
ACTA1(DISRUPTS),12
RAC1(DISRUPTS),12
NPM1(INDUCES),12
CDK2(DISRUPTS),12
Akt1(INDUCES),12
STAT1(INDUCES),12
coilin(INDUCES),12
IKKB(INDUCES),12
PML(INDUCES),12
H3(INDUCES),12
KPNB1(DISRUPTS),12
HDAC3(DISRUPTS),12
CDK1(INDUCES),12
LC3B(INDUCES),12
Raptor(DISRUPTS),12
MRE11A(INDUCES),11
SLP76(INDUCES),11
GADS(INDUCES),11
ACTA1(INDUCES),11
N-CoR1(INDUCES),11
CBP(DISRUPTS),11
NCK2(INDUCES),11
CLTA(INDUCES),11
GSK3B(INDUCES),11
TOPBP1(INDUCES),11
SCC-112(DISRUPTS),11
BRCA1(INDUCES),11
SUMO2(INDUCES),11
PPP2CA(INDUCES),11
Calmodulin(INDUCES),11
Bcl-2(INDUCES),11
CHIP(INDUCES),11
P38A(INDUCES),11
SQSTM1(INDUCES),11
hnRNP P2(DISRUPTS),11
H2AX(INDUCES),11
GRB7(INDUCES),11
FADD(INDUCES),10
Arg(INDUCES),10
PCAF(INDUCES),10
MCM7(INDUCES),10
NFkB-p65(DISRUPTS),10
CFTR(INDUCES),10
HDAC2(INDUCES),10
H2A.1(DISRUPTS),10
CDH1(DISRUPTS),10
TCF4(INDUCES),10
