PSP:ON_PROT_INTERACT,count
14-3-3 beta,197
GRB2,120
14-3-3 zeta,116
PIN1,101
14-3-3 epsilon,87
SHP-2,86
BTRC,77
PIK3R1,73
Src,71
14-3-3 gamma,69
PLK1,65
ARRB1,61
SHC1,61
FBXW7,60
p53,60
PLCG1,53
CBP,48
14-3-3 sigma,47
ARRB2,47
14-3-3 theta,45
CTNNB1,41
14-3-3 eta,39
SHP-1,38
p300,38
NBS1,34
MDM2,34
Calmodulin,34
ACTB,32
RASA1,29
HDAC1,29
EGFR,28
STAT3,27
SKP2,27
NFkB-p65,27
Exportin-1,25
CRK,25
ER-alpha,25
mTOR,25
RAF1,25
RAC1,24
Fyn,24
NCK1,24
CSK,23
CBL,23
PARP1,22
VAV1,22
E2F1,22
E2F4,22
ACTA1,22
ARR3,22
IKKG,21
FBW1B,20
HDAC3,20
KPNB1,20
LYN,20
LC3B,20
HSP90A,20
ERK2,19
Bcl-2,19
PPP2CA,19
Lck,18
RHOA,18
FAK,18
H3,18
NPM1,18
IKKA,18
CHIP,18
AR,18
CDK4,17
Akt1,17
Arg,17
Raptor,17
CDH1,17
Vimentin,17
SQSTM1,16
CRKL,16
SUMO1,16
LATS1,16
MDC1,16
N-CoR1,15
G-alpha,15
JNK1,15
PLCG2,15
beclin 1,15
TOPBP1,15
talin 1,15
SIN3A,15
SMAD3,15
CDK1,15
IKKB,15
S100B,15
SMAD4,15
HRas,14
TRAF2,14
CDK2,14
BRAF,14
IRF3,14
TCF4,14
PML,14
axin 1,14
P38A,14
CDC42,14
BRCA1,13
ATM,13
S100A2,13
HSP70,13
MRE11A,13
KPNA1,13
SLP76,13
FLNA,13
NCK2,13
PIK3C3,13
STAT1,13
GSK3B,13
CCND1,12
PCAF,12
PXN,12
MOB1A,12
RXRA,12
H2AX,12
MCM3,12
INSR,12
SMRT,12
ubiquitin,12
ERK1,12
coilin,12
PPP1CA,12
TRAF6,12
EB1,12
SUFU,12
HSC70,12
TUBA1A,12
PIK3C2A,11
GADS,11
SP1,11
SMC3,11
SCC-112,11
INCENP,11
GRB7,11
PIK3R2,11
RNF4,11
PTP1B,11
Syk,11
HDAC2,11
YAP1,11
FADD,11
WRN,11
CFTR,11
VAPB,11
Btk,11
ZO1,11
SUMO2,11
STAT5A,11
hnRNP P2,11
CLTA,11
PCNA,10
TUBG1,10
MCM7,10
SHIP,10
H2A.1,10
SPOP,10
SOS1,10
Rb,10
STING,10
DRP1,10
SH2D1B,10
PIK3CA,10
RACK1,9
CTNNA1,9
4E-BP1,9
KPNA2,9
CYBA,9
LC3A,9
AGO2,9
EIF4E,9
P130Cas,9
TUBB,9
KPNA4,9
CTBP1,9
MST1,9
MAVS,9
STAT2,9
Bcl-xL,9
BAX,9
MYD88,8
Pnk1,8
CDK9,8
RPA1,8
TACE,8
CDK6,8
AurB,8
RAD1,8
CALCOCO2,8
VCP,8
53BP1,8
S100A4,8
tensin 1 iso1,8
GAB1,8
HP1 alpha,8
AurA,8
ARF1,8
Myc,8
VAV2,8
ASK1,8
CDC20,8
ACTN1,8
PKM,8
NFkB-p100,8
FBXO31,8
SNCA,8
AHSA1,8
PSMA3,8
MST2,7
lamin A/C,7
4E-T,7
LATS2,7
TNNC1,7
TBK1,7
BAF,7
MEK1,7
Ezrin,7
ROCK2,7
NFkB-p105,7
SOCS3,7
Mad2,7
CLTC,7
TDP-43,7
HER2,7
JAK2,7
occludin,7
IQGAP1,7
RAD51,7
PTEN,7
HEC1,7
PIAS1,7
CBLL1,7
claspin,7
POLR2A,7
PACS-1,7
ECT2,7
RB1CC1,7
TEAD4,7
PKCD,7
BRCA2,7
S100A1,7
GAPDH,7
PAK1,7
DAB1,7
PIH1D1,7
S100A6,7
KSR,6
ARPC2,6
NDR1,6
KPNA5,6
Oct4,6
NHERF,6
FANCD2,6
Abl iso2,6
TPM1,6
MLKL,6
PKACA,6
CK2B,6
PGC-1 alpha,6
PICK1,6
SRC-1,6
TNF-R1,6
N-WASP,6
Met,6
GLE1,6
Chk2,6
SERCA2,6
HDAC4,6
BLM,6
NMDAR2B,6
BRD4,6
DGCR8,6
MRF,6
VASP,6
CD45,6
TBL1XR1,6
SIRT1,6
PPP1CC,6
TBL1X,6
USP7,6
GPS2,6
IRF7,6
CDC42 iso1,6
ADRB2,6
SH2D1A,6
IRS2,6
SKP1A,6
PPP3CA,6
ITGB3,6
UBC9,6
ATG14,6
L3MBTL iso4,6
NEDD4,6
Ku70,6
PDK1,6
PRMT5,6
GRK2,6
